strain	phage	auc_mean	auc_sem	las
ppu2	tea	24.3253	1.1335	50.8402
ppu2	tur	4.3102	0.3353	91.2895
ppu2	ver	16.0498	0.1374	67.5644
ppu2	win	44.772	1.4542	9.5189
ppu2	-	52.051	0.4925	0.0
ppu2	avo	21.0353	0.8536	59.5871
ppu2	azu	26.279	0.4435	49.513
ppu2	cer	19.8098	0.4889	61.9415
ppu2	coc	32.2867	0.6584	37.9711
ppu2	eme	10.9433	0.4949	78.9757
ppu2	for	24.6438	0.5926	52.6544
ppu2	fuc	12.1753	0.2238	76.6088
ppu2	gra	26.0722	1.5851	49.9103
ppu2	nav	12.3888	0.1256	76.1987
ppu2	oli	14.9918	1.2415	71.1978
ppu2	pea	24.0817	1.2857	53.7345
ppu2	pin	19.6398	0.2186	62.2681
ppu2	plu	14.9818	0.3129	71.217
ppu2	ros	37.3403	1.4081	28.262
ppu2	roy	11.9603	0.0664	77.0219
ppu2	sep	16.9433	1.2222	67.4486
ppu2	sky	34.5313	0.3346	33.6587
ppu2	-	51.8477	0.3478	0.0
ppu2	amb	0.1683	0.0357	99.6753
ppu2	aqu	13.3475	0.6406	74.2563
ppu2	asp	12.7657	0.318	75.3785
ppu2	big	25.3665	0.1549	51.0749
ppu2	bri	28.3512	0.5645	45.3183
ppu2	can	63.1928	0.3794	-21.8817
ppu2	cha	55.2892	0.5242	-6.6377
ppu2	gol	33.0263	1.3218	36.3012
ppu2	ind	6.7225	0.3178	87.0341
ppu2	jun	65.4175	0.6073	-26.1725
ppu2	mag	29.4798	0.8816	43.1414
ppu2	mam	49.5503	0.1472	4.4309
ppu2	min	26.006	0.6712	49.8415
ppu2	mus	8.3025	0.1723	83.9867
ppu2	pis	1.1208	0.0303	97.8382
ppu2	rub	11.7383	0.3375	77.36
ppu2	sha	14.5903	0.7066	71.8592
ppu2	sku	11.4112	0.3668	77.991
pat	-	17.7522	0.1592	0.0
pat	PRD1	15.3617	0.4358	13.466
pat	aub	13.3728	0.1366	24.6693
pat	car	11.824	0.0676	33.394
pat	che	9.9065	0.0608	44.1955
pat	cob	17.3335	0.4743	2.3584
pat	cri	14.9308	0.0303	15.8929
pat	haz	12.8983	0.2256	27.3422
pat	jet	7.0962	0.2639	60.0265
pat	mah	18.147	0.1882	-2.2241
pat	mar	14.5692	0.6624	17.9302
pat	obs	7.2305	0.1603	59.2698
pat	sag	16.7325	0.1502	5.7439
pat	sca	6.9983	0.3478	60.5776
pat	tea	15.6673	0.4073	11.7441
pat	tur	10.0472	0.3517	43.4032
pat	ver	16.7145	0.407	5.8453
pat	win	11.6553	0.0527	34.3442
pat	-	18.3172	0.3681	0.0
pat	avo	15.5528	0.2996	15.0915
pat	azu	16.2023	0.1698	11.5456
pat	cer	17.7123	0.3886	3.302
pat	coc	14.1433	0.1588	22.7865
pat	eme	13.8953	0.1602	24.1404
pat	for	16.8835	0.1168	7.8269
pat	fuc	8.1627	0.2137	55.4371
pat	gra	15.9512	0.167	12.9168
pat	nav	10.3077	0.0588	43.7267
pat	oli	10.412	0.2128	43.1571
pat	pea	12.6593	0.1636	30.8881
pat	pin	16.6422	0.1971	9.1444
pat	plu	16.3428	0.4117	10.7786
pat	ros	12.2255	0.1746	33.2566
pat	roy	12.4133	0.0327	32.2311
pat	sep	15.337	0.2043	16.2698
pat	sky	19.1675	0.6484	-4.6423
pat	-	20.2642	0.4159	0.0
pat	amb	2.4958	0.1538	87.6835
pat	aqu	15.3823	0.1785	24.091
pat	asp	17.4248	0.3263	14.0116
pat	big	16.4238	0.1848	18.9514
pat	bri	17.0155	0.3009	16.0316
pat	can	16.8128	0.1609	17.0317
pat	cha	13.6257	0.3689	32.7598
pat	gol	15.8613	0.3226	21.7272
pat	ind	17.745	0.7018	12.4316
pat	jun	16.795	0.0563	17.1197
pat	mag	12.9795	0.0689	35.9485
pat	mam	17.7078	0.2551	12.615
pat	min	18.3482	0.2105	9.4551
pat	mus	16.5738	0.1675	18.2111
pat	pis	13.4815	0.4511	33.4712
pat	rub	10.596	0.0375	47.7107
pat	sha	13.0603	0.1638	35.5496
pat	sku	11.0432	0.0464	45.504
